과학계열,심화 수학Ⅰ,심화 수학Ⅱ,고급 수학Ⅰ,고급 수학Ⅱ,고급 물리학,고급 화학,고급 생명과학,고급 지구과학,물리학 실험,화학 실험,생명과학 실험,지구과학 실험,융합과학 탐구,과학과제 연구,생태와 환경,정보과학
예술계열,음악 이론,음악사,시창ㆍ청음,음악 전공 실기,합창,합주,공연 실습,미술 이론,미술사,드로잉,평면 조형,입체 조형,매체 미술,미술 전공 실기,문예 창작 입문,문학 개론,문장론,문학과 매체,고전문학 감상,현대문학 감상,시 창작,소설 창작,극 창작,연극의 이해,연기,연극 제작 실습,연극 감상과 비평,영화의 이해,시나리오,영화 제작 실습,영화 감상과 비평,사진의 이해,기초 촬영,사진 표현 기법,영상 제작의 이해,사진 영상 편집,사진 감상과 비평
체육계열,스포츠 개론,체육과 진로 탐구,체육 지도법,육상 운동,체조 운동,수상 운동,개인/대인 운동,단체 운동,체육 전공 실기 기초,체육 전공 실기 심화,체육 전공 실기 응용,스포츠 경기 체력,스포츠 경기 실습,스포츠 경기 분석
외국어계열,심화 영어 회화Ⅰ,심화 영어 회화 Ⅱ,심화 영어Ⅰ,심화 영어 Ⅱ,심화 영어 독해Ⅰ,심화 영어 독해 Ⅱ,심화 영어 작문Ⅰ,심화 영어 작문 Ⅱ,전공 기초 외국어,외국어 회화Ⅰ,외국어 회화 Ⅱ,외국어 독해와 작문Ⅰ,외국어 독해와 작문 Ⅱ,외국어권 문화
국제계열,국제 정치,국제 경제,국제법,지역 이해,한국 사회의 이해,세계 문제와 미래 사회,국제 관계와 국제기구,현대 세계의 변화,사회 탐구 방법,사회과제 연구
경영 금융,비즈니스 영어,금융 일반,창업 일반,마케팅과 광고,커뮤니케이션
보건 복지,인간 발달,아동 복지,공중 보건,보건 간호
디자인 문화콘텐츠,디자인 일반,컴퓨터 그래픽,미디어 콘텐츠 일반,문화 콘텐츠 산업 일반,영상 제작 기초
미용 관광 레저,미용의 기초,관광 영어,관광 일본어,관광 중국어
음식조리,식품과 영양,한국 조리,서양 조리,바리스타
건설,공업 일반,건축 일반
기계,기계 일반,자동차 일반
화학공업,공업 화학
섬유 의류,패션 디자인의 기초,패션 마케팅
전기 전자,전기 회로,전기·전자 기초,전자 회로,디지털 논리 회로
정보 통신,정보 처리와 관리,컴퓨터 구조,자료 구조,프로그래밍
식품 가공,식품 과학
환경안전,인간과 환경
인쇄 출판 공예,공예일반
농림 수산해양,환경 보전,생명 공학 기술,원예,동물 자원,반려 동물 관리,해양의 이해,해양 환경과 자원
선박운항,열기관,항만 물류 일반
